,date,round_nr,throw_nr,dart_nr,prefix,score,value
437,2021-05-23,1,14,3,S,20,20
438,2021-05-23,1,15,1,S,19,19
439,2021-05-23,1,15,2,S,19,19
440,2021-05-23,1,15,3,D,19,38
441,2021-05-23,1,16,1,S,5,5
442,2021-05-23,1,16,2,S,20,20
443,2021-05-23,1,16,3,T,1,3
444,2021-05-23,1,17,1,S,5,5
445,2021-05-23,1,17,2,S,20,20
446,2021-05-23,1,17,3,S,20,20
447,2021-05-23,1,18,1,T,19,57
448,2021-05-23,1,18,2,S,19,19
449,2021-05-23,1,18,3,S,7,7
450,2021-05-23,1,19,1,T,5,15
451,2021-05-23,1,19,2,S,20,20
452,2021-05-23,1,19,3,T,1,3
453,2021-05-23,1,20,1,S,5,5
454,2021-05-23,1,20,2,D,20,40
455,2021-05-23,1,20,3,S,1,1
456,2021-05-23,1,21,1,S,20,20
457,2021-05-23,1,21,2,T,1,3
458,2021-05-23,1,21,3,T,20,60
459,2021-05-23,1,22,1,S,18,18
460,2021-05-23,1,22,2,T,5,15
461,2021-05-23,1,22,3,T,5,15
462,2021-05-23,1,23,1,S,20,20
463,2021-05-23,1,23,2,S,20,20
464,2021-05-23,1,23,3,S,20,20
465,2021-05-23,1,24,1,S,1,1
466,2021-05-23,1,24,2,S,20,20
467,2021-05-23,1,24,3,S,18,18
468,2021-05-23,1,25,1,S,20,20
469,2021-05-23,1,25,2,S,5,5
470,2021-05-23,1,25,3,T,20,60
471,2021-05-23,1,26,1,S,1,1
472,2021-05-23,1,26,2,T,20,60
473,2021-05-23,1,26,3,D,1,2
474,2021-05-23,1,27,1,S,5,5
475,2021-05-23,1,27,2,S,20,20
476,2021-05-23,1,27,3,S,5,5
477,2021-05-23,1,28,1,D,20,40
478,2021-05-23,1,28,2,S,20,20
479,2021-05-23,1,28,3,S,20,20
480,2021-05-23,1,29,1,S,1,1
481,2021-05-23,1,29,2,S,1,1
482,2021-05-23,1,29,3,S,1,1
483,2021-05-23,1,30,1,T,20,60
484,2021-05-23,1,30,2,S,20,20
485,2021-05-23,1,30,3,T,20,60
486,2021-05-23,1,31,1,T,20,60
487,2021-05-23,1,31,2,T,20,60
488,2021-05-23,1,31,3,S,20,20
489,2021-05-23,1,32,1,S,19,19
490,2021-05-23,1,32,2,D,19,38
491,2021-05-23,1,32,3,S,19,19
492,2021-05-23,1,33,1,S,20,20
493,2021-05-23,1,33,2,S,20,20
494,2021-05-23,1,33,3,S,20,20
495,2021-05-23,2,1,1,S,20,20
496,2021-05-23,2,1,2,S,20,20
497,2021-05-23,2,1,3,S,5,5
498,2021-05-23,2,2,1,S,20,20
499,2021-05-23,2,2,2,S,20,20
500,2021-05-23,2,2,3,S,20,20
501,2021-05-23,2,3,1,D,5,10
502,2021-05-23,2,3,2,S,1,1
503,2021-05-23,2,3,3,S,5,5
504,2021-05-23,2,4,1,S,20,20
505,2021-05-23,2,4,2,S,20,20
506,2021-05-23,2,4,3,S,5,5
507,2021-05-23,2,5,1,S,20,20
508,2021-05-23,2,5,2,S,20,20
509,2021-05-23,2,5,3,S,20,20
510,2021-05-23,2,6,1,T,19,57
511,2021-05-23,2,6,2,S,19,19
512,2021-05-23,2,6,3,D,7,14
513,2021-05-23,2,7,1,T,20,60
514,2021-05-23,2,7,2,T,20,60
515,2021-05-23,2,7,3,S,20,20
516,2021-05-23,2,8,1,T,20,60
517,2021-05-23,2,8,2,S,5,5
518,2021-05-23,2,8,3,S,20,20
519,2021-05-23,2,9,1,S,20,20
520,2021-05-23,2,9,2,T,20,60
521,2021-05-23,2,9,3,S,20,20
522,2021-05-23,2,10,1,S,19,19
523,2021-05-23,2,10,2,S,19,19
524,2021-05-23,2,10,3,S,19,19
525,2021-05-23,2,11,1,S,7,7
526,2021-05-23,2,11,2,S,19,19
527,2021-05-23,2,11,3,S,19,19
528,2021-05-23,2,12,1,S,20,20
529,2021-05-23,2,12,2,T,20,60
530,2021-05-23,2,12,3,S,1,1
531,2021-05-23,2,13,1,S,5,5
532,2021-05-23,2,13,2,D,20,40
533,2021-05-23,2,13,3,T,20,60
534,2021-05-23,2,14,1,T,20,60
535,2021-05-23,2,14,2,D,1,2
536,2021-05-23,2,14,3,S,5,5
537,2021-05-23,2,15,1,S,19,19
538,2021-05-23,2,15,2,S,19,19
539,2021-05-23,2,15,3,T,3,9
540,2021-05-23,2,16,1,S,19,19
541,2021-05-23,2,16,2,T,7,21
542,2021-05-23,2,16,3,S,19,19
543,2021-05-23,2,17,1,S,20,20
544,2021-05-23,2,17,2,T,20,60
545,2021-05-23,2,17,3,S,20,20
546,2021-05-23,2,18,1,S,20,20
547,2021-05-23,2,18,2,S,20,20
548,2021-05-23,2,18,3,S,5,5
549,2021-05-23,2,19,1,S,20,20
550,2021-05-23,2,19,2,S,20,20
551,2021-05-23,2,19,3,S,20,20
552,2021-05-23,2,20,1,S,20,20
553,2021-05-23,2,20,2,D,20,40
554,2021-05-23,2,20,3,S,1,1
555,2021-05-23,2,21,1,T,20,60
556,2021-05-23,2,21,2,S,20,20
557,2021-05-23,2,21,3,S,20,20
558,2021-05-23,2,22,1,S,19,19
559,2021-05-23,2,22,2,S,3,3
560,2021-05-23,2,22,3,S,3,3
561,2021-05-23,2,23,1,S,20,20
562,2021-05-23,2,23,2,T,5,15
563,2021-05-23,2,23,3,T,20,60
564,2021-05-23,2,24,1,S,20,20
565,2021-05-23,2,24,2,S,1,1
566,2021-05-23,2,24,3,S,20,20
567,2021-05-23,2,25,1,S,20,20
568,2021-05-23,2,25,2,S,18,18
569,2021-05-23,2,25,3,S,20,20
570,2021-05-23,2,26,1,S,1,1
571,2021-05-23,2,26,2,T,20,60
572,2021-05-23,2,26,3,T,20,60
573,2021-05-23,2,27,1,S,1,1
574,2021-05-23,2,27,2,S,20,20
575,2021-05-23,2,27,3,S,20,20
576,2021-05-23,2,28,1,T,5,15
577,2021-05-23,2,28,2,T,20,60
578,2021-05-23,2,28,3,D,20,40
579,2021-05-23,2,29,1,S,5,5
580,2021-05-23,2,29,2,D,20,40
581,2021-05-23,2,29,3,S,20,20
582,2021-05-23,2,30,1,S,19,19
583,2021-05-23,2,30,2,S,19,19
584,2021-05-23,2,30,3,S,3,3
585,2021-05-23,2,31,1,T,20,60
586,2021-05-23,2,31,2,S,1,1
587,2021-05-23,2,31,3,S,5,5
588,2021-05-23,2,32,1,S,20,20
589,2021-05-23,2,32,2,T,20,60
590,2021-05-23,2,32,3,S,20,20
591,2021-05-23,2,33,1,S,3,3
592,2021-05-23,2,33,2,S,3,3
593,2021-05-23,2,33,3,S,19,19
594,2021-05-31,1,1,1,S,20,20
595,2021-05-31,1,1,2,S,1,1
596,2021-05-31,1,1,3,S,1,1
597,2021-05-31,1,2,1,S,5,5
598,2021-05-31,1,2,2,S,20,20
599,2021-05-31,1,2,3,S,18,18
600,2021-05-31,1,3,1,T,20,60
601,2021-05-31,1,3,2,D,20,40
602,2021-05-31,1,3,3,S,20,20
603,2021-05-31,1,4,1,T,1,3
604,2021-05-31,1,4,2,S,20,20
605,2021-05-31,1,4,3,S,20,20
606,2021-05-31,1,5,1,S,12,12
607,2021-05-31,1,5,2,T,5,15
608,2021-05-31,1,5,3,S,5,5
609,2021-05-31,1,6,1,S,1,1
610,2021-05-31,1,6,2,S,20,20
611,2021-05-31,1,6,3,D,1,2
612,2021-05-31,1,7,1,S,1,1
613,2021-05-31,1,7,2,S,1,1
614,2021-05-31,1,7,3,S,5,5
615,2021-05-31,1,8,1,T,19,57
616,2021-05-31,1,8,2,S,19,19
617,2021-05-31,1,8,3,D,19,38
618,2021-05-31,1,9,1,S,1,1
619,2021-05-31,1,9,2,S,20,20
620,2021-05-31,1,9,3,S,1,1
621,2021-05-31,1,10,1,S,20,20
622,2021-05-31,1,10,2,D,20,40
623,2021-05-31,1,10,3,D,1,2
624,2021-05-31,1,11,1,T,20,60
625,2021-05-31,1,11,2,S,20,20
626,2021-05-31,1,11,3,T,20,60
627,2021-05-31,1,12,1,S,20,20
628,2021-05-31,1,12,2,S,20,20
629,2021-05-31,1,12,3,D,20,40
630,2021-05-31,1,13,1,S,18,18
631,2021-05-31,1,13,2,S,20,20
632,2021-05-31,1,13,3,S,20,20
633,2021-05-31,1,14,1,S,20,20
634,2021-05-31,1,14,2,T,5,15
635,2021-05-31,1,14,3,S,20,20
636,2021-05-31,1,15,1,T,5,15
637,2021-05-31,1,15,2,T,20,60
638,2021-05-31,1,15,3,S,20,20
639,2021-05-31,1,16,1,S,19,19
640,2021-05-31,1,16,2,S,7,7
641,2021-05-31,1,16,3,S,19,19
642,2021-05-31,1,17,1,S,20,20
643,2021-05-31,1,17,2,S,20,20
644,2021-05-31,1,17,3,T,20,60
645,2021-05-31,1,18,1,S,20,20
646,2021-05-31,1,18,2,T,5,15
647,2021-05-31,1,18,3,T,20,60
648,2021-05-31,1,19,1,S,19,19
649,2021-05-31,1,19,2,S,3,3
650,2021-05-31,1,19,3,S,19,19
651,2021-05-31,1,20,1,S,1,1
652,2021-05-31,1,20,2,S,12,12
653,2021-05-31,1,20,3,S,20,20
654,2021-05-31,1,21,1,S,20,20
655,2021-05-31,1,21,2,T,20,60
656,2021-05-31,1,21,3,S,1,1
657,2021-05-31,1,22,1,S,1,1
658,2021-05-31,1,22,2,S,20,20
659,2021-05-31,1,22,3,S,20,20
660,2021-05-31,1,23,1,S,12,12
